com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
16735,4,0,27,2023-12-07 12:54:00.000,,,2023-12-07 12:55:04.346,2023-12-07 12:55:04.346,27,1.1944444,19.99,1.05,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:55:00.000,7072df75-4e1d-40c8-94eb-f20a58824397,
51776,4,0,80,2023-12-07 12:55:00.000,,,2023-12-07 13:15:03.001,2023-12-07 13:15:03.001,106,1.4166666,73.35,3.91,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:56:00.000,64a5212b-9b40-4a44-bf0f-33f7dba67430,
57218,4,0,94,2023-12-07 12:56:00.000,,,2023-12-07 13:15:03.046,2023-12-07 13:15:03.046,112,1.4166666,81.06,4.22,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:57:00.000,898e7062-dffd-4899-a32e-1e4b595dfcaa,
16831,4,0,20,2023-12-07 12:57:00.000,,,2023-12-07 13:15:03.074,2023-12-07 13:15:03.074,41,1.3611112,22.91,1.37,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:58:00.000,9b05be1b-6d87-43bf-ba33-d76e72bc19c3,
38851,4,0,71,2023-12-07 13:15:00.000,,,2023-12-07 13:20:53.361,2023-12-07 13:20:53.361,71,1.3888888,53.96,2.58,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:16:00.000,fa06304e-a67a-447f-a05b-d73cd708f51a,
60000,4,0,111,2023-12-07 13:16:00.000,,,2023-12-07 13:20:53.404,2023-12-07 13:20:53.404,111,1.4113334,84.68,4.12,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:17:00.000,655c825b-a858-4b95-b301-6d269be3d872,
60000,4,0,110,2023-12-07 13:17:00.000,,,2023-12-07 13:20:53.448,2023-12-07 13:20:53.448,110,1.3951666,83.71,4.3,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:18:00.000,3efee50a-50c0-46c3-89cf-70018cbcb72e,
60000,4,0,110,2023-12-07 13:18:00.000,,,2023-12-07 13:20:53.474,2023-12-07 13:20:53.474,110,1.3943335,83.66,4.26,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:19:00.000,53cb18df-9341-4353-a36a-d40e1f212dff,
22893,4,0,41,2023-12-07 13:19:00.000,,,2023-12-07 13:20:53.509,2023-12-07 13:20:53.509,41,1.3611112,31.16,1.61,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:20:00.000,fde873bf-7022-44bc-8dd4-1cfc55bc64b0,
4528,4,0,9,2023-12-07 13:20:00.000,,,2023-12-07 13:20:56.087,2023-12-07 13:20:54.378,9,1.494865,6.7699995,0.31,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:21:00.000,8556933a-61ec-4be7-871b-f99d933eb3a2,
